fiscal_year,contracting_agency_name,sum
FY2021Q1,DEFENSE COMMISSARY AGENCY  (DECA),4636289.49
FY2021Q1,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),31874336.500000026
FY2021Q1,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,214197180.55
FY2021Q1,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),199451436.59
FY2021Q1,DEFENSE HEALTH AGENCY (DHA),4630227010.83
FY2021Q1,DEFENSE HUMAN RESOURCES ACTIVITY,16539859.819999998
FY2021Q1,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1374604104.8499997
FY2021Q1,DEFENSE LOGISTICS AGENCY,9190132589.309984
FY2021Q1,DEFENSE MEDIA ACTIVITY (DMA),7991337.039999999
FY2021Q1,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),122116103.63
FY2021Q1,DEFENSE THREAT REDUCTION AGENCY (DTRA),146455372.6
FY2021Q1,DEPARTMENTAL OFFICES,86637764.0
FY2021Q1,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),16408325.039999995
FY2021Q1,DEPT OF THE AIR FORCE,17707995840.049995
FY2021Q1,DEPT OF THE ARMY,22884996162.889988
FY2021Q1,DEPT OF THE NAVY,24724760810.55999
FY2021Q1,"ENERGY, DEPARTMENT OF",65823935.480000004
FY2021Q1,FEDERAL ACQUISITION SERVICE,1045916329.8799994
FY2021Q1,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,2733275.0
FY2021Q1,"INSPECTOR GENERAL, OFFICE OF",10800.0
FY2021Q1,MARITIME ADMINISTRATION,48287540.080000006
FY2021Q1,MISSILE DEFENSE AGENCY (MDA),1222281715.23
FY2021Q1,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,5582122.75
FY2021Q1,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,372889.5
FY2021Q1,NATIONAL INSTITUTES OF HEALTH,5486585.42
FY2021Q1,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),-8005728.1899999995
FY2021Q1,PUBLIC BUILDINGS SERVICE,1606791.65
FY2021Q1,SPACE DEVELOPMENT AGENCY,83044137.67
FY2021Q1,"STATE, DEPARTMENT OF",2773354.1499999994
FY2021Q1,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),5490319.08
FY2021Q1,U.S. CYBER COMMAND,16428173.239999998
FY2021Q1,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),568208139.9299997
FY2021Q1,USTRANSCOM,1644728375.04
FY2021Q1,WASHINGTON HEADQUARTERS SERVICES (WHS),342061445.19
FY2021Q2,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,0.0
FY2021Q2,BUREAU OF OCEAN ENERGY MANAGEMENT,2696263.9
FY2021Q2,BUREAU OF THE FISCAL SERVICE,1851184.9099999983
FY2021Q2,BUSINESS TRANSFORMATION AGENCY,2665060.38
FY2021Q2,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),536070979.02
FY2021Q2,DEFENSE COMMISSARY AGENCY  (DECA),65555820.61999996
FY2021Q2,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),204246956.4899999
FY2021Q2,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,98439396.69
FY2021Q2,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),69797262.08
FY2021Q2,DEFENSE HEALTH AGENCY (DHA),5413489229.140002
FY2021Q2,DEFENSE HUMAN RESOURCES ACTIVITY,106246544.21
FY2021Q2,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2289565100.6999907
FY2021Q2,DEFENSE INTELLIGENCE AGENCY,2405956.0
FY2021Q2,DEFENSE LOGISTICS AGENCY,7560161435.020237
FY2021Q2,DEFENSE MEDIA ACTIVITY (DMA),24418761.37
FY2021Q2,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),294563016.01
FY2021Q2,DEFENSE SECURITY COOPERATION AGENCY,3681602.33
FY2021Q2,DEFENSE THREAT REDUCTION AGENCY (DTRA),293360805.49
FY2021Q2,DEPARTMENTAL OFFICES,1288107472.06
FY2021Q2,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),46282860.30000001
FY2021Q2,DEPT OF THE AIR FORCE,37455030792.2
FY2021Q2,DEPT OF THE ARMY,114858378602.44003
FY2021Q2,DEPT OF THE NAVY,35428578122.57998
FY2021Q2,"ENERGY, DEPARTMENT OF",535317384.3000001
FY2021Q2,FEDERAL ACQUISITION SERVICE,2934820452.1100016
FY2021Q2,FEDERAL HIGHWAY ADMINISTRATION,0.0
FY2021Q2,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,8927163.8
FY2021Q2,"INSPECTOR GENERAL, OFFICE OF",13907.4
FY2021Q2,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,265213.13
FY2021Q2,MARITIME ADMINISTRATION,171505452.27
FY2021Q2,MISSILE DEFENSE AGENCY (MDA),1866932642.21
FY2021Q2,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,18270108.5
FY2021Q2,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),3375640.0
FY2021Q2,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,488333.5
FY2021Q2,NATIONAL INSTITUTES OF HEALTH,16774945.53
FY2021Q2,OFFICE OF PERSONNEL MANAGEMENT,12997478.04
FY2021Q2,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),58809496.92999999
FY2021Q2,OFFICE OF THE SECRETARY,59168129.849999994
FY2021Q2,PUBLIC BUILDINGS SERVICE,122748155.99999999
FY2021Q2,SPACE DEVELOPMENT AGENCY,102920439.59
FY2021Q2,"STATE, DEPARTMENT OF",91124285.21999994
FY2021Q2,TRICARE MANAGEMENT ACTIVITY (TMA),5081610.6899999995
FY2021Q2,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),6201998.97
FY2021Q2,U.S. CYBER COMMAND,2537520.11
FY2021Q2,U.S. FISH AND WILDLIFE SERVICE,8133236.989999999
FY2021Q2,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),887668492.3499997
FY2021Q2,USTRANSCOM,553548527.3700001
FY2021Q2,"VETERANS AFFAIRS, DEPARTMENT OF",25265576.560000002
FY2021Q2,VIRGINIA CONTRACTING AGENCY,1719800.0
FY2021Q2,WASHINGTON HEADQUARTERS SERVICES (WHS),628462049.9300001
FY2021Q3,BUREAU OF OCEAN ENERGY MANAGEMENT,8849675.41
FY2021Q3,BUREAU OF THE FISCAL SERVICE,108505.07
FY2021Q3,BUSINESS TRANSFORMATION AGENCY,4416627.82
FY2021Q3,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),420550882.9100001
FY2021Q3,DEFENSE COMMISSARY AGENCY  (DECA),68649344.72
FY2021Q3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),212171232.24999997
FY2021Q3,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,394221176.3399999
FY2021Q3,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),330629795.1099999
FY2021Q3,DEFENSE HEALTH AGENCY (DHA),2310420488.099998
FY2021Q3,DEFENSE HUMAN RESOURCES ACTIVITY,82543282.44000001
FY2021Q3,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),4415676091.890095
FY2021Q3,DEFENSE INTELLIGENCE AGENCY,7309926.0
FY2021Q3,DEFENSE LOGISTICS AGENCY,14996087231.76015
FY2021Q3,DEFENSE MEDIA ACTIVITY (DMA),41882052.35000001
FY2021Q3,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),385209937.55999994
FY2021Q3,DEFENSE SECURITY COOPERATION AGENCY,892478.22
FY2021Q3,DEFENSE THREAT REDUCTION AGENCY (DTRA),323591590.15
FY2021Q3,DEPARTMENTAL OFFICES,234679809.25
FY2021Q3,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),58722422.85999999
FY2021Q3,DEPT OF THE AIR FORCE,19908637980.939995
FY2021Q3,DEPT OF THE ARMY,70150775399.92
FY2021Q3,DEPT OF THE NAVY,38531617336.17998
FY2021Q3,"ENERGY, DEPARTMENT OF",678362084.34
FY2021Q3,FEDERAL ACQUISITION SERVICE,3565622412.970003
FY2021Q3,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,7815560.589999999
FY2021Q3,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,16804421.71
FY2021Q3,MARITIME ADMINISTRATION,85141245.67999999
FY2021Q3,MISSILE DEFENSE AGENCY (MDA),1212079864.44
FY2021Q3,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,29616975.85
FY2021Q3,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),2040.0
FY2021Q3,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,4351.0
FY2021Q3,NATIONAL INSTITUTES OF HEALTH,13136405.84
FY2021Q3,OFFICE OF PERSONNEL MANAGEMENT,15528.0
FY2021Q3,OFFICE OF PROCUREMENT OPERATIONS,34651.18
FY2021Q3,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),2880480.7199999997
FY2021Q3,PUBLIC BUILDINGS SERVICE,25296962.72
FY2021Q3,SPACE DEVELOPMENT AGENCY,51277774.3
FY2021Q3,"STATE, DEPARTMENT OF",13663689.82
FY2021Q3,TRICARE MANAGEMENT ACTIVITY (TMA),20432879.58
FY2021Q3,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),10502767.66
FY2021Q3,U.S. CYBER COMMAND,15155966.009999998
FY2021Q3,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1193212249.3100002
FY2021Q3,USTRANSCOM,612184474.16
FY2021Q3,"VETERANS AFFAIRS, DEPARTMENT OF",7519976.0
FY2021Q3,WASHINGTON HEADQUARTERS SERVICES (WHS),5748809629.110001
FY2021Q4,BUREAU OF OCEAN ENERGY MANAGEMENT,3781.1
FY2021Q4,BUSINESS TRANSFORMATION AGENCY,70228936.1
FY2021Q4,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),376786983.97999996
FY2021Q4,DEFENSE COMMISSARY AGENCY  (DECA),117381990.69000003
FY2021Q4,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),210448088.0800001
FY2021Q4,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,126690899.54000002
FY2021Q4,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),153153724.6
FY2021Q4,DEFENSE HEALTH AGENCY (DHA),2898839168.1400003
FY2021Q4,DEFENSE HUMAN RESOURCES ACTIVITY,92178213.54
FY2021Q4,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),4971933324.400007
FY2021Q4,DEFENSE INTELLIGENCE AGENCY,3254759.0
FY2021Q4,DEFENSE LOGISTICS AGENCY,19077609131.65967
FY2021Q4,DEFENSE MEDIA ACTIVITY (DMA),46989602.57000001
FY2021Q4,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),348663450.94
FY2021Q4,DEFENSE SECURITY COOPERATION AGENCY,39853292.900000006
FY2021Q4,DEFENSE THREAT REDUCTION AGENCY (DTRA),385773162.41999996
FY2021Q4,DEPARTMENTAL OFFICES,288693803.3
FY2021Q4,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),100863783.53999993
FY2021Q4,DEPT OF THE AIR FORCE,41244461687.64
FY2021Q4,DEPT OF THE ARMY,99024397148.74948
FY2021Q4,DEPT OF THE NAVY,148750135880.22998
FY2021Q4,"ENERGY, DEPARTMENT OF",15320030.120000001
FY2021Q4,FEDERAL ACQUISITION SERVICE,3207813765.7699995
FY2021Q4,"FEDERAL PRISON INDUSTRIES, INC.",8976139.79
FY2021Q4,FEDERAL PRISON INDUSTRIES / UNICOR,2560771.99
FY2021Q4,"INSPECTOR GENERAL, OFFICE OF",68435.06
FY2021Q4,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,28237.96
FY2021Q4,MARITIME ADMINISTRATION,73240830.55000001
FY2021Q4,MISSILE DEFENSE AGENCY (MDA),4706792438.39
FY2021Q4,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,71795377.33
FY2021Q4,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,106372.0
FY2021Q4,NATIONAL INSTITUTES OF HEALTH,4990593.47
FY2021Q4,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),14767809.040000001
FY2021Q4,PUBLIC BUILDINGS SERVICE,24059453.25
FY2021Q4,SPACE DEVELOPMENT AGENCY,16348911.32
FY2021Q4,"STATE, DEPARTMENT OF",6837714.3100000005
FY2021Q4,TRICARE MANAGEMENT ACTIVITY (TMA),12006800.22
FY2021Q4,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),60688415.67999999
FY2021Q4,U.S. CYBER COMMAND,22241314.339999996
FY2021Q4,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1286272957.2899997
FY2021Q4,USTRANSCOM,1028849331.7499999
FY2021Q4,"VETERANS AFFAIRS, DEPARTMENT OF",160332.0
FY2021Q4,WASHINGTON HEADQUARTERS SERVICES (WHS),2885903843.9399996
FY2022Q1,AFRRI,205919.0
FY2022Q1,BUREAU OF OCEAN ENERGY MANAGEMENT,295241300.32999986
FY2022Q1,BUREAU OF THE FISCAL SERVICE,14872956.350000001
FY2022Q1,BUSINESS TRANSFORMATION AGENCY,1091691.81
FY2022Q1,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),314254495.42
FY2022Q1,DEFENSE COMMISSARY AGENCY  (DECA),206813046.38999984
FY2022Q1,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),318893817.93000007
FY2022Q1,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,244829642.05999997
FY2022Q1,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),357562832.32000005
FY2022Q1,DEFENSE HEALTH AGENCY (DHA),6118539186.569999
FY2022Q1,DEFENSE HUMAN RESOURCES ACTIVITY,48350826.08
FY2022Q1,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),3492189088.630001
FY2022Q1,DEFENSE INTELLIGENCE AGENCY,196679740.0
FY2022Q1,DEFENSE LOGISTICS AGENCY,24044770018.549896
FY2022Q1,DEFENSE MEDIA ACTIVITY (DMA),135381115.66999996
FY2022Q1,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),163404986.16
FY2022Q1,DEFENSE SECURITY COOPERATION AGENCY,11195848.640000004
FY2022Q1,DEFENSE THREAT REDUCTION AGENCY (DTRA),468689921.3399999
FY2022Q1,DEPARTMENTAL OFFICES,714032306.47
FY2022Q1,DEPT OF DEFENSE,50000.0
FY2022Q1,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),195007631.65
FY2022Q1,DEPT OF THE AIR FORCE,27912204138.31998
FY2022Q1,DEPT OF THE ARMY,53816573534.76001
FY2022Q1,DEPT OF THE NAVY,35275416486.10002
FY2022Q1,"ENERGY, DEPARTMENT OF",100598.38
FY2022Q1,FARM SERVICE AGENCY,3773136.08
FY2022Q1,FEDERAL ACQUISITION SERVICE,7220696844.450199
FY2022Q1,"FEDERAL PRISON INDUSTRIES, INC.",1635142.78
FY2022Q1,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,1002600.44
FY2022Q1,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,2816455.0
FY2022Q1,"INSPECTOR GENERAL, OFFICE OF",24844.89
